#Source Table Name	#Source Column	#Source Column Type	#Source Column Size	#Source Validation	#Target Table	#Target Column	#Target Column Type	#Target Column Size	#Target Validation	#Mapping Definition	#Mapping Limitation
REAL_ESTATE_TRANSACTION	LOCATION	VARCHAR	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
REAL_ESTATE_TRANSACTION	ADDRESS_NO	VARCHAR	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
REAL_ESTATE_TRANSACTION	MAIN_ADDRESS_NO	VARCHAR	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
REAL_ESTATE_TRANSACTION	SUB_ADDRESS_NO	VARCHAR	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
REAL_ESTATE_TRANSACTION	APART_NAME	VARCHAR	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
REAL_ESTATE_TRANSACTION	AREA	NUMBER	15	SELECT CASE WHEN COUNT(AREA) > 0 THEN 0  ELSE 1 END FROM REAL_ESTATE_TRANSACTION WHERE AREA < 0	TRANSACTION	AREA	DOUBLE	10	SELECT IF(COUNT(AREA) > 0, 0, 1) FROM TRANSACTION WHERE AREA < 0	AREA	N/A
REAL_ESTATE_TRANSACTION	CONTRACT_YEAR_MONTH	VARCHAR	10	SELECT CASE WHEN COUNT(CONTRACT_YEAR_MONTH) > 0 THEN 0 ELSE 1 END FROM REAL_ESTATE_TRANSACTION WHERE LENGTH(CONTRACT_YEAR_MONTH) != 6	TRANSACTION	CONTRACT_YEAR_MONTH	VARCHAR	10	SELECT IF(COUNT(CONTRACT_YEAR_MONTH) > 0, 0, 1) FROM TRANSACTION WHERE LENGTH(CONTRACT_YEAR_MONTH) != 6	CONTRACT_YEAR_MONTH	N/A
REAL_ESTATE_TRANSACTION	CONTRACT_DATE	VARCHAR	10	SELECT CASE WHEN COUNT(CONTRACT_DATE) > 0 THEN 0 ELSE 1 END FROM REAL_ESTATE_TRANSACTION WHERE LENGTH(CONTRACT_DATE) < 1	TRANSACTION	CONTRACT_DATE	VARCHAR	10	SELECT IF(COUNT(CONTRACT_DATE) > 0, 0, 1) FROM TRANSACTION WHERE LENGTH(CONTRACT_DATE) < 1	CONTRACT_DATE	N/A
REAL_ESTATE_TRANSACTION	TRANSACTION_AMOUNT	NUMBER	10	SELECT CASE WHEN COUNT(TRANSACTION_AMOUNT) > 0 THEN 0 ELSE 1 END FROM REAL_ESTATE_TRANSACTION WHERE TRANSACTION_AMOUNT < 0	TRANSACTION	TRANSACTION_AMOUNT	DOUBLE	N/A	SELECT IF(COUNT(TRANSACTION_AMOUNT) > 0, 0, 1) FROM TRANSACTION WHERE TRANSACTION_AMOUNT < 0	TRANSACTION_AMOUNT	N/A
REAL_ESTATE_TRANSACTION	FLOOR	VARCHAR	10	N/A	TRANSACTION	FLOOR	VARCHAR	10	N/A	FLOOR	N/A
REAL_ESTATE_TRANSACTION	CONTRUCTION_YEAR	VARCHAR	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
REAL_ESTATE_TRANSACTION	ROAD_NAME	VARCHAR	100	N/A	TRANSACTION	ROAD_NAME	VARCHAR	100	N/A	ROAD_NAME	N/A
REAL_ESTATE_TRANSACTION	N/A	N/A	N/A	N/A	TRANSACTION	LOCATION_ID	VARCHAR	25	SELECT IF(COUNT(LOCATION_ID) = 0, 0, 1) FROM TRANSACTION where LOCATION_ID IN (select LOCATION_ID from LOCATION A)	SELECT LOT_INFO_ID FROM LOT_INFO WHERE CONCAT(CITY, " ", GU, " ", DONG) = REAL_ESTATE_TRANSACTION.AREA AND MAIN_LOT_NO = REAL_ESTATE_TRANSACTION.MAIN_ADDRESS_NO AND SUB_LOT_NO = REAL_ESTATE_TRANSACTION.SUB_ADDRESS_NO	N/A
LOT_INFO	LOT_INFO_ID	VARCHAR	25	SELECT CASE WHEN COUNT(LOT_INFO_ID) > 0 THEN 0 ELSE 1 END FROM LOT_INFO WHERE LOT_INFO_ID IS NULL	LOCATION	LOCATION_ID	VARCHAR	25	SELECT IF(COUNT(LOCATION_ID) > 0, 0, 1) FROM LOCATION WHERE LOCATION_ID IS NULL	LOT_INFO_ID	LOT_INFO_ID IN (SELECT LOT_INFO_ID FROM LOT_INFO_DETAIL_INFO WHERE IS_APARTMENT = 1)
LOT_INFO	LOT_NO	NUMBER	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO	LAW_DONG_CODE	VARCHAR	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO	CITY	VARCHAR	20	SELECT CASE WHEN COUNT(CITY) > 0 THEN 0 ELSE 1 END FROM LOT_INFO WHERE LENGTH(CITY) < 1	LOCATION	CITY	VARCHAR	20	SELECT IF(COUNT(CITY) > 0, 0, 1) FROM LOCATION WHERE LENGTH(CITY) < 1	CITY	N/A
LOT_INFO	GU	VARCHAR	20	SELECT CASE WHEN COUNT(GU) > 0 THEN 0 ELSE 1 END FROM LOT_INFO WHERE LENGTH(GU) < 1	LOCATION	GU	VARCHAR	20	SELECT IF(COUNT(GU) > 0, 0, 1) FROM LOCATION WHERE LENGTH(GU) < 1	GU	N/A
LOT_INFO	DONG	VARCHAR	20	SELECT CASE WHEN COUNT(DONG) > 0 THEN 0 ELSE 1 END FROM LOT_INFO WHERE LENGTH(DONG) < 1	LOCATION	DONG	VARCHAR	20	SELECT IF(COUNT(DONG) > 0, 0, 1) FROM LOCATION WHERE LENGTH(DONG) < 1	DONG	N/A
LOT_INFO	LI	VARCHAR	20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO	IS_MOUNTAIN	VARCHAR	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO	MAIN_LOT_NO	NUMBER	4	SELECT CASE WHEN COUNT(MAIN_LOT_NO) > 0 THEN 0 ELSE 1 END FROM LOT_INFO WHERE MAIN_LOT_NO < 0	LOCATION	MAIN_LOT_NO	VARCHAR	4	SELECT IF(COUNT(MAIN_LOT_NO) > 0, 0, 1) FROM LOCATION WHERE LENGTH(MAIN_LOT_NO) != 4	LPAD(MAIN_LOT_NO,4,'0')	N/A
LOT_INFO	SUB_LOT_NO	NUMBER	4	SELECT CASE WHEN COUNT(SUB_LOT_NO) > 0 THEN 0 ELSE 1 END FROM LOT_INFO WHERE SUB_LOT_NO < 0	LOCATION	SUB_LOT_NO	VARCHAR	4	SELECT IF(COUNT(SUB_LOT_NO) > 0, 0, 1) FROM LOCATION WHERE LENGTH(MAIN_LOT_NO) != 4	LPAD(SUB_LOT_NO,4,'0')	N/A
LOT_INFO	IS_REPRESENTATIVE	VARCHAR	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO_DETAIL	LOT_INFO_ID	VARCHAR	25	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO_DETAIL	DONG_CODE	VARCHAR	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO_DETAIL	DONG_NAME	VARCHAR	20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO_DETAIL	ZIPCODE	VARCHAR	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO_DETAIL	ZIPCODE_NUMBER	VARCHAR	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO_DETAIL	REMARK1	VARCHAR	40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO_DETAIL	BUILDING_NAME	VARCHAR	40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO_DETAIL	CITY_BUILDING_NAME	VARCHAR	200	N/A	LOCATION	BUILDING_NAME	VARCHAR	200	SELECT IF(COUNT(BUILDING_NAME) > 0, 0, 1) FROM LOCATION WHERE LENGTH(BUILDING_NAME) < 1	CITY_BUILDING_NAME	N/A
LOT_INFO_DETAIL	IS_APARTMENT	VARCHAR	1	SELECT CASE WHEN COUNT(IS_APARTMENT) > 0 THEN 0 ELSE 1 END FROM LOT_INFO_DETAIL WHERE IS_APARTMENT != 1 AND IS_APARTMENT != 0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LOT_INFO	N/A	N/A	N/A	N/A	LOCATION	DESCRIPTION	VARCHAR	60	SELECT IF(COUNT(DESCRIPTION) > 0, 0, 1) FROM LOCATION WHERE LENGTH(DESCRIPTION) < 1	CITY + " " + GU + " " + DONG + " "	N/A
